Cidade;Latitude;Longitude
Itupeva;-23.1526;-47.0593
Ituverava;-20.3355;-47.7902
Itápolis;-21.5942;-48.8149
Jaborandi;-20.6884;-48.4112
Jaboticabal;-21.252;-48.3252
Jacareí;-23.2983;-45.9658
Jaci;-20.8805;-49.5797
Jacupiranga;-24.6963;-48.0064
Jaguariúna;-22.7037;-46.9851
Jales;-20.2672;-50.5494
Jambeiro;-23.2522;-45.6942
Jandira;-23.5275;-46.9023
Jardinópolis;-21.0176;-47.7606
Jarinu;-23.1039;-46.728
Jaú;-22.2936;-48.5592
Jeriquara;-20.3116;-47.5918
Joanópolis;-22.927;-46.2741
José Bonifácio;-21.0551;-49.6892
João Ramalho;-22.2473;-50.7694
Jumirim;-23.0884;-47.7868
Jundiaí;-23.1852;-46.8974
Junqueirópolis;-21.5103;-51.4342
Juquitiba;-23.9244;-47.0653
Juquiá;-24.3101;-47.6426
Júlio Mesquita;-22.0112;-49.7873
Lagoinha;-23.0846;-45.1944
Laranjal Paulista;-23.0506;-47.8375
Lavrinhas;-22.57;-44.9024
Lavínia;-21.1639;-51.0412
Leme;-22.1809;-47.3841
Lençóis Paulista;-22.6027;-48.8037
Limeira;-22.566;-47.397
Lindóia;-22.5226;-46.65
Lins;-21.6718;-49.7526
Lorena;-22.7334;-45.1197
Lourdes;-20.966;-50.2263
Louveira;-23.0856;-46.9484
Lucianópolis;-22.4294;-49.522
Lucélia;-21.7182;-51.0215
Luiziânia;-21.6737;-50.3294
Lupércio;-22.4146;-49.818
Lutécia;-22.3384;-50.394
Luís Antônio;-21.55;-47.7801
Macatuba;-22.5002;-48.7102
Macaubal;-20.8022;-49.9687
Macedônia;-20.1444;-50.1973
Magda;-20.6445;-50.2305
Mairinque;-23.5398;-47.185
Mairiporã;-23.3171;-46.5897
Manduri;-23.0056;-49.3202
Marabá Paulista;-22.1068;-51.9617
Maracaí;-22.6149;-50.6713
Marapoama;-21.2587;-49.13
Marinópolis;-20.4389;-50.8254
Mariápolis;-21.7959;-51.1824
Martinópolis;-22.1462;-51.1709
Marília;-22.2171;-49.9501
Matão;-21.6025;-48.364
Mauá;-23.6677;-46.4613
Mendonça;-21.1757;-49.5791
Meridiano;-20.3579;-50.1811
Mesópolis;-19.9684;-50.6326
Miguelópolis;-20.1796;-48.031
Mineiros do Tietê;-22.412;-48.451
Mira Estrela;-19.9789;-50.139
Miracatu;-24.2766;-47.4625
Mirandópolis;-21.1313;-51.1035
Mirante do Paranapanema;-22.2904;-51.9084
Mirassol;-20.8169;-49.5206
Mirassolândia;-20.6179;-49.4617
Mococa;-21.4647;-47.0024
Mogi Guaçu;-22.3675;-46.9428
Mogi Mirim;-22.4332;-46.9532
Mogi das Cruzes;-23.5208;-46.1854
Mombuca;-22.9285;-47.559
Mongaguá;-24.0809;-46.6265
Monte Alegre do Sul;-22.6817;-46.681
Monte Alto;-21.2655;-48.4971
Monte Aprazível;-20.768;-49.7184
Monte Azul Paulista;-20.9065;-48.6387
Monte Castelo;-21.2981;-51.5679
Monte Mor;-22.945;-47.3122
Monteiro Lobato;-22.9544;-45.8407
Monções;-20.8509;-50.0975
Morro Agudo;-20.7288;-48.0581
Morungaba;-22.8811;-46.7896
Motuca;-21.5103;-48.1538
Murutinga do Sul;-20.9908;-51.2774
Nantes;-22.6156;-51.24
Narandiba;-22.4057;-51.5274
Natividade da Serra;-23.3707;-45.4468
Nazaré Paulista;-23.1747;-46.3983
Neves Paulista;-20.843;-49.6358
Nhandeara;-20.6945;-50.0436
Nipoã;-20.9114;-49.7833
Nova Aliança;-21.0156;-49.4986
Nova Campina;-24.1224;-48.9022
Nova Canaã Paulista;-20.3836;-50.9483
Nova Castilho;-20.7615;-50.3477
Nova Europa;-21.7765;-48.5705
Nova Granada;-20.5321;-49.3123
Nova Guataporanga;-21.332;-51.6447
Nova Independência;-21.1026;-51.4905
Nova Luzitânia;-20.856;-50.2617
Nova Odessa;-22.7832;-47.2941
Novais;-20.9893;-48.9141
Novo Horizonte;-21.4651;-49.2234
Nuporanga;-20.7296;-47.7429
Ocauçu;-22.438;-49.922
Olímpia;-20.7366;-48.9106
Onda Verde;-20.6042;-49.2929
Oriente;-22.1549;-50.0971
Orindiúva;-20.1861;-49.3464
Orlândia;-20.7169;-47.8852
Osasco;-23.5324;-46.7916
Oscar Bressane;-22.3149;-50.2811
Osvaldo Cruz;-21.7968;-50.8793
Ourinhos;-22.9797;-49.8697
Ouro Verde;-21.4872;-51.7024
Ouroeste;-20.0061;-50.3768
Pacaembu;-21.5627;-51.2654
Palestina;-20.39;-49.4309
Palmares Paulista;-21.0854;-48.8037
Palmeira d'Oeste;-20.4148;-50.7632
Palmital;-22.7858;-50.218
Panorama;-21.354;-51.8562
Paraguaçu Paulista;-22.4114;-50.5732
Paraibuna;-23.3872;-45.6639
Paranapanema;-23.3862;-48.7214
Paranapuã;-20.1048;-50.5886
Parapuã;-21.7792;-50.7949
Paraíso;-21.0159;-48.7761
Pardinho;-23.0841;-48.3679
Pariquera-Açu;-24.7147;-47.8742
Parisi;-20.3034;-50.0163
Patrocínio Paulista;-20.6384;-47.2801
Paulicéia;-21.3153;-51.8321
Paulistânia;-22.5768;-49.4008
Paulo de Faria;-20.0296;-49.4
Paulínia;-22.7542;-47.1488
Pederneiras;-22.3511;-48.7781
Pedra Bela;-22.7902;-46.4455
Pedranópolis;-20.2474;-50.1129
Pedregulho;-20.2535;-47.4775
Pedreira;-22.7413;-46.8948
Pedrinhas Paulista;-22.8174;-50.7933
Pedro de Toledo;-24.2764;-47.2354
Penápolis;-21.4148;-50.0769
Pereira Barreto;-20.6368;-51.1123
Pereiras;-23.0804;-47.972
Peruíbe;-24.312;-47.0012
Piacatu;-21.5921;-50.6003
Piedade;-23.7139;-47.4256
Pilar do Sul;-23.8077;-47.7222
Pindamonhangaba;-22.9246;-45.4613
Pindorama;-21.1853;-48.9086
Pinhalzinho;-22.7811;-46.5897
Piquerobi;-21.8747;-51.7282
Piquete;-22.6069;-45.1869
Piracaia;-23.0525;-46.3594
Piracicaba;-22.7338;-47.6476
Piraju;-23.1981;-49.3803
Pirajuí;-21.999;-49.4608
Pirangi;-21.0886;-48.6607
Pirapora do Bom Jesus;-23.3965;-46.9991
Pirapozinho;-22.2711;-51.4976
Pirassununga;-21.996;-47.4257
Piratininga;-22.4142;-49.1339
Pitangueiras;-21.0132;-48.221
Planalto;-21.0342;-49.933
Platina;-22.6371;-50.2104
Poloni;-20.7829;-49.8258
Pompéia;-22.107;-50.176
Pongaí;-21.7396;-49.3604
Pontal;-21.0216;-48.0423
Pontalinda;-20.4396;-50.5258
Pontes Gestal;-20.1727;-49.7064
Populina;-19.9453;-50.538
Porangaba;-23.1761;-48.1195
Porto Feliz;-23.2093;-47.5251
Porto Ferreira;-21.8498;-47.487
Potim;-22.8343;-45.2552
Potirendaba;-21.0428;-49.3815
Poá;-23.5333;-46.3473
Pracinha;-21.8496;-51.0868
Pradópolis;-21.3626;-48.0679
Praia Grande;-24.0084;-46.4121
Pratânia;-22.8112;-48.6636
Presidente Alves;-22.0999;-49.4381
Presidente Bernardes;-22.0082;-51.5565
Presidente Epitácio;-21.7651;-52.1111
Presidente Prudente;-22.1207;-51.3925
Presidente Venceslau;-21.8732;-51.8447
Promissão;-21.5356;-49.8599
Quadra;-23.2993;-48.0547
Quatá;-22.2456;-50.6966
Queiroz;-21.7969;-50.2415
Queluz;-22.5312;-44.7781
Quintana;-22.0692;-50.307
Rafard;-23.0105;-47.5318
Rancharia;-22.2269;-50.893
Redenção da Serra;-23.2638;-45.5422
Regente Feijó;-22.2181;-51.3055
Reginópolis;-21.8914;-49.2268
Registro;-24.4979;-47.8449
Restinga;-20.6056;-47.4833
Ribeira;-24.6517;-49.0044
Ribeirão Bonito;-22.0685;-48.182
Ribeirão Branco;-24.2206;-48.7635
Ribeirão Corrente;-20.4579;-47.5904
Ribeirão Grande;-24.1011;-48.3679
Ribeirão Pires;-23.7067;-46.4058
Ribeirão Preto;-21.1699;-47.8099
Ribeirão do Sul;-22.789;-49.933
Ribeirão dos Índios;-21.8382;-51.6103
Rifaina;-20.0803;-47.4291
Rincão;-21.5894;-48.0728
Rinópolis;-21.7284;-50.7239
Rio Claro;-22.3984;-47.5546
Rio Grande da Serra;-23.7437;-46.3971
Rio das Pedras;-22.8417;-47.6047
Riolândia;-19.9868;-49.6836
Riversul;-23.829;-49.429
Rosana;-22.5782;-53.0603
Roseira;-22.8938;-45.307
Rubinéia;-20.1759;-51.007
Rubiácea;-21.3006;-50.7296
Sabino;-21.4593;-49.5755
Sagres;-21.8823;-50.9594
Sales;-21.3427;-49.4897
Sales Oliveira;-20.7696;-47.8369
Salesópolis;-23.5288;-45.8465
Salmourão;-21.6267;-50.8614
Saltinho;-22.8442;-47.6754
Salto;-23.1996;-47.2931
Salto Grande;-22.8894;-49.9831
Salto de Pirapora;-23.6474;-47.5743
Sandovalina;-22.4551;-51.7648
Santa Adélia;-21.2427;-48.8063
Santa Albertina;-20.0311;-50.7297
Santa Branca;-23.3933;-45.8875
Santa Bárbara d'Oeste;-22.7553;-47.4143
Santa Clara d'Oeste;-20.09;-50.9491
Santa Cruz da Conceição;-22.1405;-47.4512
Santa Cruz da Esperança;-21.2951;-47.4304
Santa Cruz das Palmeiras;-21.8235;-47.248
Santa Cruz do Rio Pardo;-22.8988;-49.6354
Santa Ernestina;-21.4618;-48.3953
Santa Fé do Sul;-20.2083;-50.932
Santa Gertrudes;-22.4572;-47.5272
Santa Isabel;-23.3172;-46.2237
Santa Lúcia;-21.685;-48.0885
Santa Maria da Serra;-22.5661;-48.1593
Santa Mercedes;-21.3495;-51.7564
Santa Rita d'Oeste;-20.1414;-50.8358
Santa Rita do Passa Quatro;-21.7083;-47.478
Santa Rosa de Viterbo;-21.4776;-47.3622
Santa Salete;-20.2429;-50.6887
Santana da Ponte Pensa;-20.2523;-50.8014
Santana de Parnaíba;-23.4439;-46.9178
Santo Anastácio;-21.9747;-51.6527
Santo André;-23.6737;-46.5432
Santo Antônio da Alegria;-21.0864;-47.1464
Santo Antônio de Posse;-22.6029;-46.9192
Santo Antônio do Aracanguá;-20.9331;-50.498
Santo Antônio do Jardim;-22.1121;-46.6845
Santo Antônio do Pinhal;-22.827;-45.663
Santo Expedito;-21.8467;-51.3929
Santos;-23.9535;-46.335
Santópolis do Aguapeí;-21.6376;-50.5044
Sarapuí;-23.6397;-47.8249
Sarutaiá;-23.2721;-49.4763
Sebastianópolis do Sul;-20.6523;-49.925
Serra Azul;-21.3074;-47.5602
Serra Negra;-22.6139;-46.7033
Serrana;-21.2043;-47.5952
Sertãozinho;-21.1316;-47.9875
Sete Barras;-24.382;-47.9279
Severínia;-20.8108;-48.8054
Silveiras;-22.6638;-44.8522
Socorro;-22.5903;-46.5251
Sorocaba;-23.4969;-47.4451
Sud Mennucci;-20.6872;-50.9238
Sumaré;-22.8204;-47.2728
Suzano;-23.5448;-46.3112
Suzanápolis;-20.4981;-51.0268
São Bento do Sapucaí;-22.6837;-45.7287
São Bernardo do Campo;-23.6914;-46.5646
São Caetano do Sul;-23.6229;-46.5548
São Carlos;-22.0174;-47.886
São Francisco;-20.3623;-50.6952
São Joaquim da Barra;-20.5812;-47.8593
São José da Bela Vista;-20.5935;-47.6424
São José do Barreiro;-22.6414;-44.5774
São José do Rio Pardo;-21.5953;-46.8873
São José do Rio Preto;-20.8113;-49.3758
São José dos Campos;-23.1896;-45.8841
São João da Boa Vista;-21.9707;-46.7944
São João das Duas Pontes;-20.3879;-50.3792
São João de Iracema;-20.5111;-50.3561
São João do Pau d'Alho;-21.2662;-51.6672
São Lourenço da Serra;-23.8491;-46.9432
São Luiz do Paraitinga;-23.222;-45.3109
São Manuel;-22.7321;-48.5723
São Miguel Arcanjo;-23.8782;-47.9935
São Paulo;-23.5329;-46.6395
São Pedro;-22.5483;-47.9096
São Pedro do Turvo;-22.7453;-49.7428
São Roque;-23.5226;-47.1357
São Sebastião;-23.7951;-45.4143
São Sebastião da Grama;-21.7041;-46.8208
São Simão;-21.4732;-47.5518
São Vicente;-23.9574;-46.3883
Tabapuã;-20.9602;-49.0307
Tabatinga;-21.7239;-48.6896
Taboão da Serra;-23.6019;-46.7526
Taciba;-22.3866;-51.2882
Taguaí;-23.4452;-49.4024
Taiaçu;-21.1431;-48.5112
Taiúva;-21.1223;-48.4528
Tambaú;-21.7029;-47.2703
Tanabi;-20.6228;-49.6563
Tapiratiba;-21.4713;-46.7448
Tapiraí;-23.9612;-47.5062
Taquaral;-21.0737;-48.4126
Taquaritinga;-21.4049;-48.5103
Taquarituba;-23.5307;-49.241
Taquarivaí;-23.9211;-48.6948
Tarabai;-22.3016;-51.5621
Tarumã;-22.7429;-50.5786
Tatuí;-23.3487;-47.8461
Taubaté;-23.0104;-45.5593
Tejupá;-23.3425;-49.3722
Teodoro Sampaio;-22.5299;-52.1682
Terra Roxa;-20.787;-48.3314
Tietê;-23.1101;-47.7164
Timburi;-23.2057;-49.6096
Torre de Pedra;-23.2462;-48.1955
Torrinha;-22.4237;-48.1731
Trabiju;-22.0388;-48.3342
Tremembé;-22.9571;-45.5475
Três Fronteiras;-20.2344;-50.8905
Tuiuti;-22.8193;-46.6937
Tupi Paulista;-21.3825;-51.575
Tupã;-21.9335;-50.5191
Turiúba;-20.9428;-50.1135
Turmalina;-20.0486;-50.4792
Ubarana;-21.165;-49.7198
Ubatuba;-23.4332;-45.0834
Ubirajara;-22.5272;-49.6613
Uchoa;-20.9511;-49.1713
União Paulista;-20.8862;-49.9025
Uru;-21.7866;-49.2848
Urupês;-21.2032;-49.2931
Urânia;-20.2455;-50.6455
Valentim Gentil;-20.4217;-50.0889
Valinhos;-22.9698;-46.9974
Valparaíso;-21.2229;-50.8699
Vargem;-22.887;-46.4124
Vargem Grande Paulista;-23.5993;-47.022
Vargem Grande do Sul;-21.8322;-46.8913
Vera Cruz;-22.2183;-49.8207
Vinhedo;-23.0302;-46.9833
Viradouro;-20.8734;-48.293
Vista Alegre do Alto;-21.1692;-48.6284
Vitória Brasil;-20.1956;-50.4875
Votorantim;-23.5446;-47.4388
Votuporanga;-20.4237;-49.9781
Várzea Paulista;-23.2136;-46.8234
Zacarias;-21.0506;-50.0552
Águas da Prata;-21.9319;-46.7176
Águas de Lindóia;-22.4733;-46.6314
Águas de Santa Bárbara;-22.8812;-49.2421
Águas de São Pedro;-22.5977;-47.8734
Álvares Florence;-20.3203;-49.9141
Álvares Machado;-22.0764;-51.4722
Álvaro de Carvalho;-22.0841;-49.719
Óleo;-22.9435;-49.3419
